id	task	meter	anchor_paada	makuta_ending	prasa_consonant	first_weight	source_padyam_id	reference_paadas
pdy-gs-aataveladi-00	generate_samasya	aataveladi	సూర్యుఁడొకఁడు గాఁడె చూడ వేమ.	false			pdy-aataveladi-0808	["కూటవాసి యగుచు గుణములఁ బచరించి","నీటనీడవలెను నిలిచియుండు","నుదకఘటములందు నొగిఁదోఁచుటే గాని"]
pdy-gs-champakamaala-02	generate_samasya	champakamaala	మిగిలిన మోహసంపదలు మీరును మీరును వేంకటేశ్వరా!	false	గ	|	pdy-champakamaala-0345	["నగ వలమేలుమంగకును నాటవవల్కలు నీకు మాటల","న్‌ బగ డలమేలుమంగకును బచ్చెనగర్వము నీకుఁ జూపుల","న్‌ జిగి యలమేలుమంగకును శ్రీమల వేడుక నీకు నిట్ల పో"]
pdy-gs-champakamaala-03	generate_samasya	champakamaala	బడలిక దీఱ సంతసిలు భామినిఁ దల్లినిఁ బోలరెవ్వరున్.	true	డ	|	pdy-champakamaala-0232	["వెడవెడ నింక భోజనపువేళ గతించిన బిడ్డఁడేమొకో","బడి విడి రాఁడు నేఁ డనుచుఁ బాతరలాడుచు నుండునంతలోఁ","గడఁ జనుదేర నెత్తుకొని కౌఁగిటఁ జేరిచి చుంచు దువ్వి మై-"]
pdy-gs-kandamu-03	generate_samasya	kandamu	ననలం బెంతైనఁ బెరఁగు నయ్య కుమారా!	false	న	|	pdy-kandamu-0181	["తన సత్కర్మాచరణం","బున భాగ్యము వేగ వృద్ధి బొందు, జగత్ప్రా","ణుని వర సాహాయ్యముచే"]
pdy-gs-champakamaala-04	generate_samasya	champakamaala	వలపులవార్ధిలోన ననివారణఁ దేలుచు వేంకటేశ్వరా!	false	ల	|	pdy-champakamaala-0334	["కులికెడు పండుటామనులఁ గోయిలకూఁతల గుండె ఝల్లన","న్‌ జెలువము గల్గు రాకలను జెంగట శ్రీయలమేలుమంగ కో","విలకలనాదకోటులచవిం బచరింపఁగ నెట్టు లోర్తువో"]
pdy-gs-kandamu-04	generate_samasya	kandamu	స్సారములై పోవు నన్న! సంపఁగిమన్నా!	true	ర	U	pdy-kandamu-0340	["నేరనిగురుబోధలు సం","సారము లై కూనలమ్మసంకీర్తన లై","దూరము లై ముక్తికి ని"]
pdy-gs-champakamaala-05	generate_samasya	champakamaala	దెలు మొలనూలు ఘంటలుఁ బ్రతిధ్వను లీనఁగ వేంకటేశ్వరా!	false	ల	|	pdy-champakamaala-0318	["లలితపుఁగంకణాంగదకలధ్వని ఘల్లని మ్రోయ నుంగరం","బులు మణినీల కాంతుల ప్రభుత్వముతో నలమేలుమంగ గు","బ్బల పెనువ్రేఁగుతోఁ దుఱుముభారముతో నినుఁ జేరవచ్చు నం"]
pdy-gs-kandamu-05	generate_samasya	kandamu	వేమన తోడగుచువచ్చు వెంటనె వేమా.	false	మ	U	pdy-kandamu-0638	["ఆమడ కామడ కడవులు","గ్రామంబులు చెరువు నదులు కర్మము లింతే","తా మెందులోనఁ దిరిగిన"]
pdy-gs-vutpalamaala-01	generate_samasya	vutpalamaala	మాటికి నున్న వేమన సమానము నెవ్వరు గల్గు వేమనా.	false	ట	U	pdy-vutpalamaala-0199	["కూటికి లేనివానివలెఁ గోపములేకయు నెల్లతావుల","న్‌ మాటికిమాటికిన్‌ మఱియు మాటకుమాటకు పద్యపద్ధతి","న్‌ ధాటి నెఱుంగఁ జెప్పుచును ధారుణిలో శివరూపధారియై"]
pdy-gs-kandamu-06	generate_samasya	kandamu	లేదుసుమీ సతులవలపు లేశము సుమతీ!	false	ద	U	pdy-kandamu-0460	["కాదుసుమీ దుస్సంగతి","పోదుసుమీ కీర్తికాంత పొందినపిదప","న్‌ వాదుసుమీ యప్పిచ్చుట"]
pdy-gs-saardulamu-01	generate_samasya	saardulamu	మంతా! సంతతశాంతిమంత! జయరామా! భక్తమందారమా!	false	త	U	pdy-saardulamu-0004	["వింతల్‍గాఁ గడు మీకు సత్కృతులు గావింతున్ దుషారాద్రిజా-","కాంతాక్రాంతజటాంతరాళవిలుఠద్గంగాతరంగచ్ఛటో-","త్క్రాంతాత్యంత ఝళంఝళన్నినద రంగద్ధాటి మీఱంగ సా-"]
pdy-gs-kandamu-07	generate_samasya	kandamu	జాడింపదె ఱొమ్ముఁ దన్ని సంపఁగిమన్నా!	false	డ	U	pdy-kandamu-0344	["కీడొసఁగెడు గురు డేలా","గాడిదవాలంబుఁ బట్టి ఘననదు లీఁద","న్‌ గూడునె గుండెలు పగులఁగ"]
pdy-gs-kandamu-08	generate_samasya	kandamu	సాధించినముక్తుఁ డన్న సంపఁగిమన్నా!	true	ధ	U	pdy-kandamu-0422	["సాధనచతుష్టయంబున","సాధారణలీలఁ దనరి సర్వేంద్రియము","ల్‌ శోధించి నిజసమాధిని"]
pdy-gs-kandamu-09	generate_samasya	kandamu	సభమెచ్చని మాటలెల్లఁ జప్పన సుమతీ!	false	భ	|	pdy-kandamu-0526	["శుభముల నొందని చదువును","నభినయమును రాగరసము నందని పాట","ల్‌ అభిలాష లేని కూటమి"]
pdy-gs-kandamu-10	generate_samasya	kandamu	జదువులుపచరింతు రన్న సంపఁగిమన్నా!	true	ద	|	pdy-kandamu-0361	["వదలరు విషయము లెచటను","మెదలరు సజ్జనులకడను మిధ్యాజ్ఞాను","ల్‌ చదివితి మని యజ్ఞులతోఁ"]
pdy-gs-kandamu-11	generate_samasya	kandamu	బడఁతుల మర్యాద లెఱిఁగి బ్రతుకు కుమారీ!	false	డ	|	pdy-kandamu-0251	["నడకలలో నడుగుల చ","ప్పుడు వినఁబడకుండవలయు భువి గుంటలు క","న్పడరాదు మడమనొక్కులఁ"]
pdy-gs-kandamu-12	generate_samasya	kandamu	కిన్నిహితము సతము మంచి కీర్తి కుమారీ!	false	న్న	U	pdy-kandamu-0296	["ఎన్నాళ్లు బ్రతుకఁ బోదురు","కొన్నాళ్లకు మరణదశలఁ గ్రుంగుట జగమం","దున్నట్టివారి కందఱి"]
pdy-gs-kandamu-13	generate_samasya	kandamu	సాటి యగునె యెచట నున్న! సంపఁగిమన్నా!	false	ట	U	pdy-kandamu-0314	["తాటాకులలో వ్రాసిన","మాటలనా ముక్తి పాడిమర్మముఁ దెలియు","న్‌? సూటి యగురాజమార్గము"]
pdy-gs-kandamu-14	generate_samasya	kandamu	దివి భువి నుతిఁ బొందునట్టి తెఱవ కుమారీ!	false	వ	|	pdy-kandamu-0283	["పవళించునపుడు రంభా","కువలయదళనేత్రభంగి గోరినరీతి","న్‌ ధవుని కొనఁగూర్పవలయును"]
pdy-gs-champakamaala-06	generate_samasya	champakamaala	బుడమి సమస్తమేలు గతిఁ బొంగెడు తల్లినిఁ బోలరెవ్వరున్.	true	డ	|	pdy-champakamaala-0248	["కొడుకును గోడ లొంటిపడి కొంకుచు సైగలు నారజంపు టా-","గడములు వింతవింత నెఱగారవముల్ గిలిగింతలాడు మే-","ల్సడిసడిసన్నలుం గుసగుసల్ జరిగించుట చూచి యాత్మలోఁ"]
pdy-gs-vutpalamaala-02	generate_samasya	vutpalamaala	ల్‌ ముట్టక పోయి దక్షునికి మోసము వచ్చెఁగదయ్య భాస్కరా!	false	ట్ట	U	pdy-vutpalamaala-0039	["పట్టుగ నిక్కుచున్‌ మదముఁ బట్టి మహాత్ములఁ దూలనాడినం","బట్టిన కార్యముల్‌ చెడును బ్రాణమువోవు నిరర్థదోషము","ల్‌ పుట్టు, మహేశుఁ గాదని కుబుద్ధి నొనర్చిన యజ్ఞ తంత్రము"]
pdy-gs-kandamu-15	generate_samasya	kandamu	మెండగు పాపంబునొంది మెలఁగుఁ గుమారా!	false	డ	U	pdy-kandamu-0174	["మండలపతి దండార్హుల","దండింపక యుండరాదు ధారుణి నతఁడా","ఖండల సమానుఁడైనను"]
pdy-gs-kandamu-16	generate_samasya	kandamu	విదితంబుగ దానఁగీర్తి వెలయుఁ గుమారా!	false	ద	|	pdy-kandamu-0117	["సదమల మతితోఁ బెద్దల","మది కింపుగ మెలఁగు, నింద మానుము పరుల","న్‌ మృదు మార్గములను వదలకు"]
pdy-gs-kandamu-17	generate_samasya	kandamu	పెద్దతనంబెల్ల నణఁగ బెట్టుఁ గుమారీ!	false	ద్ద	U	pdy-kandamu-0302	["ఇద్దఱు గూడుక యొక చో","నొద్దిక మాటాడుచుండ నొదిఁగి యొదిఁగి యా","యొద్దకుఁ జనఁగూడదు తన"]
pdy-gs-kandamu-18	generate_samasya	kandamu	పరులెన్నగ బ్రతుకువాఁడు ప్రాజ్ఞుఁడు వేమా.	false	ర	|	pdy-kandamu-0536	["పరనారీ దూరగుడై","పరధనముల కాసపడక పరహితదారై","పరులలిగిన దానలుగక"]
pdy-gs-kandamu-19	generate_samasya	kandamu	రంగుగ సంపదలు లోక రక్షక కృష్ణా.	false	గ	U	pdy-kandamu-0025	["అంగన పనుపున దోవతి","కొంగున నటుకులను ముడుచుకొని వచ్చిన యా","సంగతి విని దయనొసఁగితి"]
pdy-gs-champakamaala-07	generate_samasya	champakamaala	తవిలి యొనర్పవే జలధి దాఁటి సురారులఁ ద్రుంచి భాస్కరా!	false	వ	|	pdy-champakamaala-0006	["అవనివిభుండు నేరుపరియై చరియించినఁ గొల్చువార లె","ట్లవగుణు లైననేమి? పనులన్నియుఁ జేకుఱు వారిచేతనే;","ప్రవిమలనీతిశాలి యగు రాముని కార్యము మర్కటంబులే"]
pdy-gs-aataveladi-01	generate_samasya	aataveladi	ల్‌ విశ్వదాభిరామ వినర వేమ.	true			pdy-aataveladi-0724	["కసవు నేరి తినెడు పసరపు మైఁ దిన","మాలఁడండ్రు వాని మహిని నరులు","పట్టికోడిఁ దిన్న ప్రాజ్ఞులందురు జను"]
pdy-gs-champakamaala-08	generate_samasya	champakamaala	న్‌ దెఱ దిగనేసి వేడుకలు తెప్పలఁ దేలఁగ వేంకటేశ్వరా!	false	ఱ	|	pdy-champakamaala-0355	["చెఱఁగులు చూపి క్రొవ్విరులు చిందెడు తేనెలు నాల్గువంకల","న్‌ వఱదలువాఱె ఘర్మములు వాహినులై యలమేలుమంగతోఁ","గఱఁగుచు నీవు కౌఁగిట సుఖస్థితిఁ గూడుచు బంధుసంగతి"]
pdy-gs-vutpalamaala-03	generate_samasya	vutpalamaala	ల్లోకము లేలినట్లు మదిలో ముదమందుదు సుందరీమణీ!	false	క	U	pdy-vutpalamaala-0179	["నీ కటిపెంపుచేత ధరణీతలమున్ వశమయ్యె కోమలీ","నీ కుచకుంభయుగ్మమున నిర్జితమయ్యె సురాలయం బహో","చేకొనఁగల్గె నీదు జడచే నహిధామము నిన్నుఁ గూడి ము-"]
pdy-gs-mattebhamu-05	generate_samasya	mattebhamu	క్రమ మజ్ఞుల్ గనలేరు గాని భువి భర్గా! పార్వతీవల్లభా!	true	మ	|	pdy-mattebhamu-0116	["మిము సేవించుటచేతఁ గాదె చిరలక్ష్మీసంగతుల్ శౌరికి","న్ నముచిద్వేషికి శాశ్వతస్థితమహానాకాధిపత్యంబు వా-","గ్రమణీభర్త కశేషసృష్టిరచనాప్రావీణ్యమున్ గల్గె నీ"]
pdy-gs-vutpalamaala-04	generate_samasya	vutpalamaala	రూపున దానిలోఁగల విరుద్ధపుఁ జేదు నశించు భాస్కరా!	false	ప	U	pdy-vutpalamaala-0040	["పాపపుఁ ద్రోవవాని కొకపట్టున మేను వికాసమొందిన","న్‌ లోపల దుర్గుణంబె ప్రబలుం గద! నమ్మగఁ గూడ దాతని","న్‌; బాపటకాయకున్‌ నునుపు పైపయి గల్గినఁ గల్గుగాక యే"]
pdy-gs-champakamaala-09	generate_samasya	champakamaala	న్ దొడఁబడి ప్రోచుచున్న యలతొయ్యలిఁ దల్లినిఁ బోలరెవ్వరున్.	true	డ	|	pdy-champakamaala-0229	["కొడు కెటువంటివాఁ డయినఁ గుంభినిలో నదలింపరాని దుం-","దుడుకయి యున్న నన్యులకు దొడ్డఱికం బెఱిఁగించుచున్ మది","న్ జిడజిడ మాని సంతసము చిప్పిలఁ గంటికి ఱెప్ప చాడ్పున"]
pdy-gs-mattebhamu-06	generate_samasya	mattebhamu	కరణిం గోవిదులైరొ కాని మఱి! భర్గా! పార్వతీవల్లభా!	true	ర	|	pdy-mattebhamu-0114	["హరి దైవంబు విరించి సర్వభువనాధ్యక్షుండు బృందారకే-","శ్వరుఁడాఢ్యుండు హుతాశనుండు పతి భాస్వంతుండు వేల్పండ్రు లో","నరయ న్నేరరుగా ‘శివాత్పరతరం నాస్తీ’తివాక్యార్థ మే-"]
pdy-gs-champakamaala-10	generate_samasya	champakamaala	న్ దలఁచిన గుండెలో దిగులు దైవమెఱుంగును సుందరీమణీ!	false	ల	|	pdy-champakamaala-0282	["కిలకిల నవ్వు నవ్వి, గిలిగింతలు వింతలు చేసిచేసి, గు-","బ్బల నెద గ్రుమ్మిక్రుమ్మి, నునుపల్మొనవాతెఱ నొక్కినొక్కి, రా-","చిలుకహుమావజీరు విలసిల్లు లడాయి బడాయి చూపు ని"]
pdy-gs-mattebhamu-07	generate_samasya	mattebhamu	ధికలీలావిధి నంతరంగముల వర్తింపంగ సర్వేశ్వరా!	false	క	|	pdy-mattebhamu-0530	["సకలాధీశ్వరులై గణాధిపతులై సర్వజ్ఞులై నిత్యులై","యకలంకాత్మకులై మహామహిములై యంభోజగర్భాండర-","క్షకులై యుండుదు రెల్లవారును భవత్సద్భక్తి నానాగణా-"]
pdy-gs-vutpalamaala-05	generate_samasya	vutpalamaala	న్మీలనిమీలనంబులకె మెత్తువు నీవును వేంకటేశ్వరా!	false	ల	U	pdy-vutpalamaala-0210	["లోలవిలోలనేత్రకుఁ దళుక్కున ఱెప్పలు వంచి యెత్తిన","న్‌ మేలిమిఁ జెక్కుటద్దముల మేలములై యలమేలుమంగకు","న్‌ నీలపయోదపుందుఱుము నిగ్గుతటిల్లతలే యటంచు ను"]
pdy-gs-mattebhamu-08	generate_samasya	mattebhamu	కరలీల న్బుధులెన్న నీకిడితి భర్గా! పార్వతీవల్లభా!	true	ర	|	pdy-mattebhamu-0141	["ధరలో నెన్నఁగ శాలివాహనశకాబ్దంబు ల్దగ న్యామినీ-","కరబాణాంగశశాంకసంఖ్యఁ జెలువై కన్పట్టు (సౌమ్యా)హ్వ- య","స్ఫురదబ్దంబున నిమ్మహాశతక మేఁ బూర్ణంబు గావించి శ్రీ-"]
pdy-gs-vutpalamaala-06	generate_samasya	vutpalamaala	న్నంతనె యింద్రుఁడైన గణనా యనుకొందును సుందరీమణీ!	false	త	U	pdy-vutpalamaala-0182	["పంతము మీఱ నీదు చనుబంతుల ప్రాపున లెక్కసేయఁ గొం-","డంతటి కార్యమైన భవదంచితసాంద్రకటాక్షయుక్తి కే","కంతుని బాణపంక్తి నట కట్లను గట్టుదు నీదు పల్కు వి-"]
pdy-gs-vutpalamaala-07	generate_samasya	vutpalamaala	ధామనివాసులౌదుఁరట దాశరథీ! కరుణాపయోనిధీ!	true	మ	U	pdy-vutpalamaala-0084	["\\"రామహరే కకుత్స్థకుల రామహరే రఘురామరామ శ్రీ","రామహరే\\" యటంచు మది రంజిల భేకగళంబులీల నీ","నామము సంస్మరించిన జనంబు భవంబెడబాసి తత్పరం"]
pdy-gs-vutpalamaala-08	generate_samasya	vutpalamaala	దోమఁగ వచ్చునే మిగులఁ దోఁచని చేఁతగు గాక భాస్కరా!	true	మ	U	pdy-vutpalamaala-0044	["ప్రేమను గూర్చి యల్పునకుఁ బెద్దతనంబును దొడ్డవానికిం","దా మతితుచ్ఛపుంబని నెదం బరికింపగ యీయరాదుగా","వామకరంబుతోడఁ గడువం గుడిచేత నపానమార్గముం"]
pdy-gs-vutpalamaala-09	generate_samasya	vutpalamaala	న్‌ బట్టము కట్టఁ గోరి రది పాయక చేకుఱెనోటు భాస్కరా!	false	ట్ట	U	pdy-vutpalamaala-0019	["కట్టడ లేని కాలమున గాదు శుభం బొరులెంతవారు చే","పట్టిననైన మర్త్యునకు భాగ్యము రాదనుటెల్లఁ గల్లకా","దెట్టని పల్కినన్‌; దశరథేశ వసిష్ఠులు రామమూర్తికి"]
pdy-gs-mattebhamu-09	generate_samasya	mattebhamu	న్‌ వెలయన్‌ భూరుహకోటరం బదియ సూ వేదాత్మ, నారాయణా!	true	ల	|	pdy-mattebhamu-0309	["కలుషాగాథవినాశకారి యగుచుం గైవల్యసంధాయియై","నలి నొప్పారెడు మంత్రరాజమగు నీనామంబు ప్రేమంబుతో","నలర న్నెవ్వని వాక్కునం బొరయదే నన్నీచు ఘోరాత్మయు"]
pdy-gs-aataveladi-02	generate_samasya	aataveladi	నిహముఫలము కల్గు నెసఁగు వేమ.	false			pdy-aataveladi-0842	["తల్లిదండ్రులందు దారిద్ర్యయుతులందు","నమ్మని నిరుపేద నరులయందు","ప్రభువులందుఁ జూడ భయభక్తు లమరిన"]
pdy-gs-champakamaala-11	generate_samasya	champakamaala	న్నెలలకుఁ దాళలేనయితి నీవెటులోర్తువె సుందరీమణీ!	false	ల	|	pdy-champakamaala-0297	["నెల పయనం బటన్న విని నీవడలొందుదువంచు నింతలో","నెలతరొ వత్తునంచు వెస నిన్నొక సమ్మతి చేసివచ్చి క్రొ-","న్నెలలకు వేఁడివెన్నెలకు నిద్దపుఁ బూవిలుకాని కాఱుచి-"]
pdy-gs-mattebhamu-10	generate_samasya	mattebhamu	ర్పరుగా మూఢు లదేమిదుష్కృతమొ? భర్గా! పార్వతీవల్లభా!	true	ర	|	pdy-mattebhamu-0112	["తరుణీశుంభదురోజకుంభములపై ధమ్మిల్లబంధంబుపైఁ","గరమూలంబులపైఁ గపోలములపైఁ గందోయిపై మోముపై","నిరతంబున్ విహరించు చిత్త మెపుడున్ నీయందొకప్డేనిఁ జే-"]
pdy-gs-saardulamu-02	generate_samasya	saardulamu	శ్చింత న్శాంతుఁడనౌదు నీ కరుణచే శ్రీకాళహస్తీశ్వరా!	false	త	U	pdy-saardulamu-0263	["సంతోషించితిఁ జాలుఁజాలు రతి రాజద్వార సౌఖ్యంబుల","న్‌ శాంతిం బొందితిఁ జాలుఁజాలు బహురాజద్వార సౌఖ్యంబుల","న్‌ శాంతిం బొందెదఁ జూపు బ్రహ్మపద రాజద్వార సౌఖ్యంబు ని"]
pdy-gs-mattebhamu-11	generate_samasya	mattebhamu	దరుణీరత్నములౌఁ బటీరతరులౌఁ దథ్యంబు సర్వేశ్వరా!	false	ర	|	pdy-mattebhamu-0513	["తరులం బువ్వులు పిందెలై యొదవి తత్తజ్జాతితోఁ బండ్లగు","న్ హర మీ పాదపయోజపూజితములై యత్యద్భుతం బవ్విరు","ల్ కరులౌ నశ్వములౌ ననర్హమణులౌఁ గర్పూరమౌ హారమౌఁ"]
pdy-gs-mattebhamu-12	generate_samasya	mattebhamu	ర్ణవసౌభాగ్యము మానమెవ్వరికిఁ గాన న్వచ్చు సర్వేశ్వరా!	true	వ	|	pdy-mattebhamu-0537	["శివవాక్యస్ఫురితాక్షరద్వయ సకృజ్జిహ్వాప్రదేశాత్ముఁడై","భవదుఃఖాంబుధి దాఁటజూచు తఱిఁ దత్పంచాక్షరీమంత్ర ము-","త్సవలీలం గడుశుద్ధుఁడై జపము వాంఛం జేయు భాస్వద్గుణా-"]
pdy-gs-saardulamu-03	generate_samasya	saardulamu	న్‌ సన్నన్‌ ముక్తి యొసంగితీవు భళి కృష్ణా దేవకీనందనా.	true	న్న	U	pdy-saardulamu-0068	["చన్నే నిన్నును బాలుఁగాఁ దలఁచి యిచ్చం బూతనాకాంత దాఁ","జన్నుల్నిండఁగఁ జేఁదుఁ బూసికొని యా చన్బాలు నీకిచ్చినం","జన్నుంబాలకు లోనుగాక యసురన్‌ సాధించి యాయింతికి"]
pdy-gs-saardulamu-04	generate_samasya	saardulamu	ఱంకాడంగఁ దొడంగినట్లు రఘువీరా! జానకీనాయకా!	true	క	U	pdy-saardulamu-0166	["కొంకం గారణ మేమి ధర్మములు పెక్కుల్ చేసి మర్త్యుండు నీ","వంకం జిత్తము నిల్పలేక పెరత్రోవల్ త్రొక్కినన్ సర్వముం","బొంకై పోవుఁ; గురంగనేత్ర తగునోముల్ వేయునున్ నోచి తా"]
pdy-gs-vutpalamaala-10	generate_samasya	vutpalamaala	పానుపుమీఁది చేఁత లివి పచ్చితలంపులు వేంకటేశ్వరా!	false	న	U	pdy-vutpalamaala-0250	["మానవతీశిరోమణికి మంజులవాణికి మోవితేనియ","ల్‌ కానిక లిచ్చినాఁడవట కౌఁగిట నాయలమేలుమంగకు","న్‌ మీనచకోరనేత్రి నిను మెచ్చి మదంబునఁ గౌఁగిలించి నీ"]
pdy-gs-vutpalamaala-11	generate_samasya	vutpalamaala	తావకభక్తియోగమున దాశరథీ! కరుణాపయోనిధీ!	true	వ	U	pdy-vutpalamaala-0122	["జీవనమింకఁ బంకమునఁ జిక్కినమీను చలింపకెంతయు","న్‌ దావుననిల్చి జీవనమె దద్దయుఁ గోరువిధంబు చొప్పడం","దావలఁమైనగాని గుఱి దప్పనివాఁడు తరించువాఁడయా"]
pdy-gs-vutpalamaala-12	generate_samasya	vutpalamaala	గానలలోన నేమిటికిఁగాక, యభోజ్యములౌట భాస్కరా!	false	న	U	pdy-vutpalamaala-0036	["దానముఁ జేయనేరని యధార్మికు సంపద యుండి యుండియు","న్‌ దానె పలాయనంబగుట తథ్యము; బూరుగు మ్రాను గాచిన","న్‌, దాని ఫలంబులూరక వృథాపడిపోవవె యెండి గాలిచేఁ"]
pdy-gs-saardulamu-05	generate_samasya	saardulamu	ల్‌ 'సర్వం విష్ణుమయం జగ'త్తనఁగ కృష్ణా దేవకీనందనా.	true	ర్వ	U	pdy-saardulamu-0083	["సర్వజ్ఞుండును సర్వలోకగురుఁడున్‌ సర్వంసహానాథుఁడు","న్‌ సర్వేశుండును సర్వసాధకుఁడునౌ సర్వేశ నీమూర్తి దా","సర్వంబు న్గలిగించు పెంచునణఁచున్‌ సందేహమేలా స్మృతు"]
pdy-gs-champakamaala-12	generate_samasya	champakamaala	ధరమున జాఱునే శిలలు దాశరథీ! కరుణాపయోనిధీ!	true	ర	|	pdy-champakamaala-0143	["గురుతరమైన కావ్యరస గుంభనకబ్బురమంది ముష్కరు","ల్‌ సరసులమాడ్కి సంతసిల జాలుదురోటు శశాంకచంద్రికాం","కురముల కిందుకాంతమణికోటి స్రవించినభంగి వింధ్యభూ"]
